ADC1 ADC2 ADC3 ADC4 ADC5 ADC6 ADC7 ADC8 ADC9 ADC10 ADC11 ADC12 ADC13 ADC14 ADC15 ADC16 ADC17 ADC18 ADC19 T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12 T13 T14 T15 T16 T17 T18 T19 
628 623 628 614 620 630 633 637 628 0 4095 4095 4095 4095 0 0 2666 0 368 -92,25 -61,20 -43,26 -61,08 -60,62 -61,27 -60,77 -61,37 -67,80 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,88 0.00 224,61 
626 633 615 613 626 631 632 635 628 0 4095 4095 4095 4095 0 0 2662 0 384 -92,37 -60,81 -43,68 -61,12 -60,38 -61,23 -60,81 -61,45 -67,80 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,38 0.00 234,38 
635 631 622 612 627 629 634 630 629 0 4095 4095 4095 4095 0 0 2664 0 368 -91,82 -60,88 -43,45 -61,16 -60,34 -61,31 -60,73 -61,65 -67,75 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,63 0.00 224,61 
627 625 618 610 618 628 631 636 629 0 4095 4095 4095 4095 0 0 2660 0 400 -92,31 -61,12 -43,58 -61,23 -60,70 -61,35 -60,85 -61,41 -67,75 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,14 0.00 244,14 
634 631 624 617 628 625 625 630 621 0 4095 4095 4095 4095 0 0 2664 0 400 -91,88 -60,88 -43,39 -60,96 -60,30 -61,47 -61,08 -61,65 -68,11 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,63 0.00 244,14 
637 631 623 618 625 622 633 631 621 0 4095 4095 4095 4095 0 0 2666 0 416 -91,70 -60,88 -43,42 -60,92 -60,42 -61,59 -60,77 -61,61 -68,11 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,88 0.00 253,91 
627 624 620 613 620 629 633 637 631 0 4095 4095 4095 4095 0 0 2666 0 384 -92,31 -61,16 -43,52 -61,12 -60,62 -61,31 -60,77 -61,37 -67,66 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,88 0.00 234,38 
637 632 620 612 626 629 634 630 628 0 4095 4095 4095 4095 0 0 2666 0 368 -91,70 -60,85 -43,52 -61,16 -60,38 -61,31 -60,73 -61,65 -67,80 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,88 0.00 224,61 
633 632 624 617 627 631 625 642 622 0 4095 4095 4095 4095 0 0 2669 0 368 -91,94 -60,85 -43,39 -60,96 -60,34 -61,23 -61,08 -61,17 -68,06 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,25 0.00 224,61 
629 624 618 611 618 630 632 638 630 0 4095 4095 4095 4095 0 0 2664 0 336 -92,19 -61,16 -43,58 -61,20 -60,70 -61,27 -60,81 -61,33 -67,71 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,63 0.00 205,08 
631 625 620 613 620 630 634 638 630 0 4095 4095 4095 4095 0 0 2671 0 368 -92,07 -61,12 -43,52 -61,12 -60,62 -61,27 -60,73 -61,33 -67,71 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,49 0.00 224,61 
628 624 619 611 619 631 634 639 631 0 4095 4095 4095 4095 0 0 2670 0 384 -92,25 -61,16 -43,55 -61,20 -60,66 -61,23 -60,73 -61,29 -67,66 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,37 0.00 234,38 
628 632 625 621 619 628 633 639 630 0 4095 4095 4095 4095 0 0 2664 0 352 -92,25 -60,85 -43,36 -60,80 -60,66 -61,35 -60,77 -61,29 -67,71 ,00 10,23 249,94 249,94 249,94 0.00 0.00 54,63 0.00 214,84 
628 625 624 620 621 627 632 637 632 0 4095 4095 4095 4095 0 0 2667 0 400 -92,25 -61,12 -43,39 -60,84 -60,58 -61,39 -60,81 -61,37 -67,62 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,00 0.00 244,14 
627 625 617 613 620 632 632 640 632 0 4095 4095 4095 4095 0 0 2670 0 384 -92,31 -61,12 -43,61 -61,12 -60,62 -61,19 -60,81 -61,25 -67,62 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,37 0.00 234,38 
635 633 626 618 623 632 628 633 622 0 4095 4095 4095 4095 0 0 2668 0 368 -91,82 -60,81 -43,32 -60,92 -60,50 -61,19 -60,96 -61,53 -68,06 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,12 0.00 224,61 
628 628 618 614 629 631 634 641 630 0 4095 4095 4095 4095 0 0 2671 0 384 -92,25 -61,00 -43,58 -61,08 -60,26 -61,23 -60,73 -61,21 -67,71 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,49 0.00 234,38 
630 625 620 620 621 630 633 639 632 0 4095 4095 4095 4095 0 0 2673 0 384 -92,13 -61,12 -43,52 -60,84 -60,58 -61,27 -60,77 -61,29 -67,62 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,74 0.00 234,38 
637 632 629 619 628 623 626 633 626 0 4095 4095 4095 4095 0 0 2667 0 384 -91,70 -60,85 -43,23 -60,88 -60,30 -61,55 -61,04 -61,53 -67,88 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,00 0.00 234,38 
637 634 626 619 627 625 627 638 625 0 4095 4095 4095 4095 0 0 2672 0 400 -91,70 -60,77 -43,32 -60,88 -60,34 -61,47 -61,00 -61,33 -67,93 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,61 0.00 244,14 
638 633 627 616 630 624 628 633 624 0 4095 4095 4095 4095 0 0 2672 0 368 -91,64 -60,81 -43,29 -61,00 -60,22 -61,51 -60,96 -61,53 -67,97 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,61 0.00 224,61 
636 633 625 616 627 632 634 632 626 0 4095 4095 4095 4095 0 0 2672 0 416 -91,76 -60,81 -43,36 -61,00 -60,34 -61,19 -60,73 -61,57 -67,88 ,00 10,23 249,94 249,94 249,94 0.00 0.00 55,61 0.00 253,91 
